date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:25	37301/37301	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:46%20GMT	http://www.carolmeyerdesign.com/images/header.gif	./carolmeyer/www.carolmeyerdesign.com/images/header.gif	(from http://www.carolmeyerdesign.com/)
10:06:25	1428/1428	---M--	200	added ('OK')	image/gif	date:Thu,%2029%20Sep%202005%2016:15:32%20GMT	http://www.carolmeyerdesign.com/images/box/top.gif	./carolmeyer/www.carolmeyerdesign.com/images/box/top.gif	(from http://www.carolmeyerdesign.com/)
10:06:25	310/310	---M--	200	added ('OK')	image/gif	date:Thu,%2029%20Sep%202005%2016:15:30%20GMT	http://www.carolmeyerdesign.com/images/box/cornertop.gif	./carolmeyer/www.carolmeyerdesign.com/images/box/cornertop.gif	(from http://www.carolmeyerdesign.com/)
10:06:26	18133/18133	---M--	200	added ('OK')	image/gif	date:Thu,%2029%20Sep%202005%2016:16:08%20GMT	http://www.carolmeyerdesign.com/images/navback.gif	./carolmeyer/www.carolmeyerdesign.com/images/navback.gif	(from http://www.carolmeyerdesign.com/)
10:06:28	6217/6217	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2014:06:27%20GMT	http://www.carolmeyerdesign.com/index.php	./carolmeyer/www.carolmeyerdesign.com/index-2.html	(from http://www.carolmeyerdesign.com/)
10:06:28	2480/2480	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:51%20GMT	http://www.carolmeyerdesign.com/images/nav/whoweare.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/whoweare.gif	(from http://www.carolmeyerdesign.com/)
10:06:30	6313/6313	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2014:06:29%20GMT	http://www.carolmeyerdesign.com/whoweare.php	./carolmeyer/www.carolmeyerdesign.com/whoweare.html	(from http://www.carolmeyerdesign.com/)
10:06:30	1885/1885	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:49%20GMT	http://www.carolmeyerdesign.com/images/nav/process.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/process.gif	(from http://www.carolmeyerdesign.com/)
10:06:32	7124/7124	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2014:06:31%20GMT	http://www.carolmeyerdesign.com/process.php	./carolmeyer/www.carolmeyerdesign.com/process.html	(from http://www.carolmeyerdesign.com/)
10:06:32	1599/1599	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:49%20GMT	http://www.carolmeyerdesign.com/images/nav/pricing.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/pricing.gif	(from http://www.carolmeyerdesign.com/)
10:06:34	6715/6715	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2014:06:33%20GMT	http://www.carolmeyerdesign.com/pricing.php	./carolmeyer/www.carolmeyerdesign.com/pricing.html	(from http://www.carolmeyerdesign.com/)
10:06:34	1742/1742	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:50%20GMT	http://www.carolmeyerdesign.com/images/nav/samples.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/samples.gif	(from http://www.carolmeyerdesign.com/)
10:06:36	10450/10450	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2014:06:35%20GMT	http://www.carolmeyerdesign.com/samples.php	./carolmeyer/www.carolmeyerdesign.com/samples.html	(from http://www.carolmeyerdesign.com/)
10:06:36	1993/1993	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:47%20GMT	http://www.carolmeyerdesign.com/images/nav/contactus.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/contactus.gif	(from http://www.carolmeyerdesign.com/)
10:06:38	7069/7069	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2014:06:37%20GMT	http://www.carolmeyerdesign.com/contactus.php	./carolmeyer/www.carolmeyerdesign.com/contactus.html	(from http://www.carolmeyerdesign.com/)
10:06:38	9253/9253	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:47:24%20GMT	http://www.carolmeyerdesign.com/images/model1.gif	./carolmeyer/www.carolmeyerdesign.com/images/model1.gif	(from http://www.carolmeyerdesign.com/)
10:06:39	621/621	---M--	200	added ('OK')	image/gif	date:Thu,%2029%20Sep%202005%2016:15:31%20GMT	http://www.carolmeyerdesign.com/images/box/right.gif	./carolmeyer/www.carolmeyerdesign.com/images/box/right.gif	(from http://www.carolmeyerdesign.com/)
10:06:40	369/369	---M--	200	added ('OK')	image/gif	date:Thu,%2029%20Sep%202005%2016:15:27%20GMT	http://www.carolmeyerdesign.com/images/box/bottom.gif	./carolmeyer/www.carolmeyerdesign.com/images/box/bottom.gif	(from http://www.carolmeyerdesign.com/)
10:06:41	316/316	---M--	200	added ('OK')	image/gif	date:Thu,%2029%20Sep%202005%2016:15:28%20GMT	http://www.carolmeyerdesign.com/images/box/cornerbut.gif	./carolmeyer/www.carolmeyerdesign.com/images/box/cornerbut.gif	(from http://www.carolmeyerdesign.com/)
10:06:42	269/269	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:46%20GMT	http://www.carolmeyerdesign.com/images/logosm.gif	./carolmeyer/www.carolmeyerdesign.com/images/logosm.gif	(from http://www.carolmeyerdesign.com/)
10:06:44	6295/6295	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20May%202022%2014:06:43%20GMT	http://www.carolmeyerdesign.com/sitecredits.php	./carolmeyer/www.carolmeyerdesign.com/sitecredits.html	(from http://www.carolmeyerdesign.com/)
10:06:44	1739/1739	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:48%20GMT	http://www.carolmeyerdesign.com/images/nav/home.gif	./carolmeyer/www.carolmeyerdesign.com/images/nav/home.gif	(from http://www.carolmeyerdesign.com/whoweare.php)
10:06:52	66014/66014	---M--	200	added ('OK')	application/pdf	date:Fri,%2007%20Oct%202005%2006:46:00%20GMT	http://www.carolmeyerdesign.com/images/samples/harvard.pdf	./carolmeyer/www.carolmeyerdesign.com/images/samples/harvard.pdf	(from http://www.carolmeyerdesign.com/samples.php)
10:06:57	55198/55198	---M--	200	added ('OK')	application/pdf	date:Fri,%2007%20Oct%202005%2006:46:03%20GMT	http://www.carolmeyerdesign.com/images/samples/laurel.pdf	./carolmeyer/www.carolmeyerdesign.com/images/samples/laurel.pdf	(from http://www.carolmeyerdesign.com/samples.php)
10:07:04	59251/59251	---M--	200	added ('OK')	application/pdf	date:Fri,%2007%20Oct%202005%2006:45:55%20GMT	http://www.carolmeyerdesign.com/images/samples/chestnut.pdf	./carolmeyer/www.carolmeyerdesign.com/images/samples/chestnut.pdf	(from http://www.carolmeyerdesign.com/samples.php)
10:07:06	1425/1425	---M--	200	added ('OK')	image/gif	date:Fri,%2007%20Oct%202005%2006:45:45%20GMT	http://www.carolmeyerdesign.com/images/adobereader.gif	./carolmeyer/www.carolmeyerdesign.com/images/adobereader.gif	(from http://www.carolmeyerdesign.com/samples.php)
10:07:06	46351/46351	---M--	200	added ('OK')	application/pdf	date:Fri,%2007%20Oct%202005%2006:45:57%20GMT	http://www.carolmeyerdesign.com/images/samples/commonwealth.pdf	./carolmeyer/www.carolmeyerdesign.com/images/samples/commonwealth.pdf	(from http://www.carolmeyerdesign.com/samples.php)
10:07:12	119628/119628	---M--	200	added ('OK')	application/pdf	date:Fri,%2007%20Oct%202005%2006:46:08%20GMT	http://www.carolmeyerdesign.com/images/samples/miller.pdf	./carolmeyer/www.carolmeyerdesign.com/images/samples/miller.pdf	(from http://www.carolmeyerdesign.com/samples.php)
10:07:15	138748/138748	---M--	200	added ('OK')	application/pdf	date:Fri,%2007%20Oct%202005%2006:46:13%20GMT	http://www.carolmeyerdesign.com/images/samples/newbrook.pdf	./carolmeyer/www.carolmeyerdesign.com/images/samples/newbrook.pdf	(from http://www.carolmeyerdesign.com/samples.php)
10:07:16	41287/41287	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Oct%202005%2006:45:56%20GMT	http://www.carolmeyerdesign.com/images/samples/chestnut.png	./carolmeyer/www.carolmeyerdesign.com/images/samples/chestnut.png	(from http://www.carolmeyerdesign.com/samples.php)
10:07:16	33990/33990	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Oct%202005%2006:45:58%20GMT	http://www.carolmeyerdesign.com/images/samples/commonwealth.png	./carolmeyer/www.carolmeyerdesign.com/images/samples/commonwealth.png	(from http://www.carolmeyerdesign.com/samples.php)
10:07:23	51608/51608	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Oct%202005%2006:46:02%20GMT	http://www.carolmeyerdesign.com/images/samples/harvard.png	./carolmeyer/www.carolmeyerdesign.com/images/samples/harvard.png	(from http://www.carolmeyerdesign.com/samples.php)
10:07:26	54987/54987	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Oct%202005%2006:46:05%20GMT	http://www.carolmeyerdesign.com/images/samples/laurel.png	./carolmeyer/www.carolmeyerdesign.com/images/samples/laurel.png	(from http://www.carolmeyerdesign.com/samples.php)
10:07:28	61152/61152	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Oct%202005%2006:46:09%20GMT	http://www.carolmeyerdesign.com/images/samples/miller.png	./carolmeyer/www.carolmeyerdesign.com/images/samples/miller.png	(from http://www.carolmeyerdesign.com/samples.php)
10:07:30	76063/76063	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Oct%202005%2006:46:15%20GMT	http://www.carolmeyerdesign.com/images/samples/newbrook.png	./carolmeyer/www.carolmeyerdesign.com/images/samples/newbrook.png	(from http://www.carolmeyerdesign.com/samples.php)
